Country,Clicks,Impressions,CTR,Position
United States,0,53,0%,66.96
Poland,0,3,0%,9
Thailand,0,1,0%,1
Taiwan,0,1,0%,1
Ukraine,0,1,0%,8
Canada,0,1,0%,84
