Date,Clicks,Impressions,CTR,Position
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,2,0%,1
2026-04-07,0,2,0%,29.5
2026-04-08,0,7,0%,52.9
2026-04-09,0,3,0%,69.3
2026-04-10,0,11,0%,48.1
2026-04-11,0,3,0%,81
2026-04-12,0,9,0%,56.9
2026-04-13,0,2,0%,78
2026-04-14,0,7,0%,84.9
2026-04-15,0,4,0%,61
2026-04-16,0,10,0%,75.3
